"","PLOT","REP","INSTN","NTP","LB1","LB2","LB3","LB4","LB5","LB6","LB7","LB8","AUDPC","rAUDPC","SAUDPC"
"860","860","3","CIP396269.14",10,0,10,40,40,50,70,80,90,2360,0.453846153846154,13.8
"861","861","3","CIP395109.29",10,0,0,3,3,20,50,60,70,1197,0.230192307692308,7
"862","862","3","CIP397098.12",10,5,20,40,50,60,80,90,100,2785,0.535576923076923,16.3
"863","863","3","CIP395432.51",10,0,50,60,60,60,60,70,100,2945,0.566346153846154,17.2
"864","864","3","CIP304394.56",10,20,100,100,100,100,100,100,100,4800,0.923076923076923,28.1
"865","865","3","CIP392639.34",10,0,20,30,30,30,60,70,95,2042.5,0.392788461538462,11.9
"866","866","3","CIP397077.16",10,1,80,95,97,100,100,100,100,4479,0.861346153846154,26.2
"867","867","3","CIP300055.32",10,0,0,2,2,10,40,65,90,1148,0.220769230769231,6.7
"868","868","3","CIP392617.54",10,0,0,2,2,10,40,50,70,973,0.187115384615385,5.7
"869","869","3","CIP398208.505",10,0,0,2,2,10,20,40,65,745.5,0.143365384615385,4.4
"870","870","3","CIP381379.12",10,0,0,2,2,10,30,40,60,798,0.153461538461538,4.7
"871","871","3","CIP393073.197",10,0,5,40,40,40,50,55,80,1897.5,0.364903846153846,11.1
"872","872","3","CIP398192.592",10,0,0,5,5,20,30,50,70,1015,0.195192307692308,5.9
"873","873","3","CIP392821.1",10,0,0,2,2,20,40,60,90,1183,0.2275,6.9
"874","874","3","CIP393371.164",10,0,0,2,1,5,20,30,40,546,0.105,3.2
"875","875","3","CIP393371.159",10,0,5,10,10,20,40,45,70,1162.5,0.223557692307692,6.8
"876","876","3","CIP398190.404",10,0,0,0,0,2,10,10,40,294,0.0565384615384615,1.7
"877","877","3","CIP301024.14",10,0,0,3,2,10,30,35,50,735,0.141346153846154,4.3
"878","878","3","CIP398180.289",10,0,0,3,1,10,30,35,40,693,0.133269230769231,4.1
"879","879","3","CIP398190.571",10,0,2,5,3,5,20,25,40,563,0.108269230769231,3.3
"880","880","3","CIP397100.9",10,5,60,90,95,100,100,100,100,4280,0.823076923076923,25
"881","881","3","CIP398190.523",10,0,0,10,10,30,60,75,90,1610,0.309615384615385,9.4
"882","882","3","CIP394904.20",10,0,0,10,10,20,30,35,40,875,0.168269230769231,5.1
"883","883","3","CIP396038.107",10,0,20,30,30,30,40,55,80,1745,0.335576923076923,10.2
"884","884","3","CIP304366.46",10,0,40,70,70,80,90,90,100,3490,0.671153846153846,20.4
"885","885","3","CIP397196.8",10,3,50,90,90,95,100,100,100,4115,0.791346153846154,24.1
"886","886","3","CIP392032.2",10,5,60,80,85,90,95,100,100,4035,0.775961538461538,23.6
"887","887","3","CIP396018.241",10,0,3,10,20,30,40,50,60,1285.5,0.247211538461538,7.5
"888","888","3","CIP301024.95",10,0,0,2,1,5,10,20,50,441,0.0848076923076923,2.6
"889","889","3","CIP396026.103",10,0,5,10,10,20,20,25,40,777.5,0.149519230769231,4.5
"890","890","3","CIP398203.509",10,0,0,10,10,30,40,60,90,1365,0.2625,8
"891","891","3","CIP392285.72",10,0,0,5,5,10,30,35,50,770,0.148076923076923,4.5
"892","892","3","CIP398098.119",10,0,0,2,2,10,20,40,40,658,0.126538461538462,3.8
"893","893","3","CIP381178.14",10,0,10,40,40,50,70,85,100,2430,0.467307692307692,14.2
"894","894","3","CIP301037.85",10,0,5,20,20,40,40,50,20,1302.5,0.250480769230769,7.6
"895","895","3","CIP300072.1",10,0,70,100,100,100,100,100,100,4445,0.854807692307692,26
"896","896","3","CIP395123.6",10,0,0,3,3,10,20,25,40,567,0.109038461538462,3.3
"897","897","3","CIP396272.18",10,0,20,40,45,60,70,75,95,2532.5,0.487019230769231,14.8
"898","898","3","CIP392822.3",10,2,70,95,97,100,100,100,100,4399,0.845961538461538,25.7
"899","899","3","CIP395096.2",10,0,0,10,5,15,30,40,50,875,0.168269230769231,5.1
"900","900","3","CIP398098.231",10,0,0,10,5,5,10,15,30,420,0.0807692307692308,2.5
"901","901","3","CIP395436.8",10,2,5,30,45,50,70,85,100,2362.5,0.454326923076923,13.8
"902","902","3","CIP396038.101",10,0,20,40,50,60,80,85,95,2707.5,0.520673076923077,15.8
"903","903","3","CIP396004.263",10,1,10,40,45,50,70,85,100,2470,0.475,14.4
"904","904","3","CIP397029.21",10,0,20,40,40,40,60,95,100,2445,0.470192307692308,14.3
"905","905","3","CIP300101.11",10,0,40,60,60,80,85,90,100,3315,0.6375,19.4
"906","906","3","CIP301023.15",10,0,0,5,5,20,40,50,90,1155,0.222115384615385,6.8
"907","907","3","CIP399083.4",10,0,2,5,5,5,20,30,40,612,0.117692307692308,3.6
"908","908","3","CIP385499.11",10,3,70,90,90,95,100,100,100,4285,0.824038461538461,25.1
"909","909","3","CIP304350.18",10,10,80,100,100,100,100,100,100,4580,0.880769230769231,26.8
"910","910","3","CIP381403.16",10,0,10,20,25,30,40,50,60,1450,0.278846153846154,8.5
"911","911","3","CIP399004.19",10,0,2,5,5,5,20,25,50,612,0.117692307692308,3.6
"912","912","3","CIP395011.2",10,0,0,2,2,10,30,40,60,798,0.153461538461538,4.7
"913","913","3","CIP399049.14",10,0,3,5,5,10,20,20,30,550.5,0.105865384615385,3.2
"914","914","3","CIP301056.54",10,0,5,30,35,50,60,65,90,2037.5,0.391826923076923,11.9
"915","915","3","CIP302428.20",10,0,70,95,100,100,100,100,100,4410,0.848076923076923,25.8
"916","916","3","CIP304371.67",10,0,50,95,96,100,100,100,100,4212,0.81,24.6
"917","917","3","CIP397016.7",10,3,80,100,100,100,100,100,100,4545,0.874038461538462,26.6
"918","918","3","CIP800959",10,0,40,90,90,95,95,100,100,3980,0.765384615384615,23.3
