"","PLOT","REP","INSTN","NTP","LB1","LB2","LB3","LB4","LB5","LB6","LB7","LB8","AUDPC","rAUDPC","SAUDPC"
"643","643","3","CIP377744.1",10,0,0,10,10,30,50,55,60,1295,0.249038461538462,7.6
"644","644","3","CIP304350.100",10,3,60,100,100,100,100,100,100,4375,0.841346153846154,25.6
"645","645","3","CIP395196.4",10,0,0,10,15,30,60,70,100,1645,0.316346153846154,9.6
"646","646","3","CIP304351.109",10,0,5,40,55,70,90,100,100,2877.5,0.553365384615385,16.8
"647","647","3","CIP395112.6",10,0,0,10,15,40,65,70,90,1715,0.329807692307692,10
"648","648","3","CIP391931.1",10,0,60,80,85,95,100,100,100,4080,0.784615384615385,23.9
"649","649","3","CIP304399.5",10,0,50,80,90,100,100,100,100,4065,0.781730769230769,23.8
"650","650","3","CIP395112.32",9,0,0,5,5,30,50,65,90,1400,0.269230769230769,8.2
"651","651","3","CIP393084.31",10,0,0,2,2,20,40,55,85,1130.5,0.217403846153846,6.6
"652","652","3","CIP399085.23",10,0,0,2,2,10,15,20,40,483,0.0928846153846154,2.8
"653","653","3","CIP395077.12",10,0,0,0,0,5,30,40,80,805,0.154807692307692,4.7
"654","654","3","CIP395438.1",10,0,5,40,55,60,90,97,100,2786.5,0.535865384615385,16.3
"655","655","3","CIP398180.253",10,0,0,2,3,30,50,65,90,1365,0.2625,8
"656","656","3","CIP397039.51",10,5,60,90,100,100,100,100,100,4315,0.829807692307692,25.2
"657","657","3","CIP397006.18",9,0,50,90,95,100,100,100,100,4170,0.801923076923077,24.4
"658","658","3","CIP393385.39",9,0,0,10,15,35,70,95,100,1925,0.370192307692308,11.3
"659","659","3","CIP396240.2",10,0,0,5,5,10,40,55,85,1102.5,0.212019230769231,6.4
"660","660","3","CIP397067.2",10,3,80,100,100,100,100,100,100,4545,0.874038461538462,26.6
"661","661","3","CIP397044.25",10,1,60,90,100,100,100,100,100,4295,0.825961538461538,25.1
"662","662","3","CIP399075.32",10,0,0,0,1,10,30,50,50,812,0.156153846153846,4.8
"663","663","3","CIP398208.704",10,0,0,2,3,15,30,55,80,1015,0.195192307692308,5.9
"664","664","3","CIP392797.22",10,0,20,80,85,95,100,100,100,3740,0.719230769230769,21.9
"665","665","3","CIP303381.106",10,0,10,60,90,100,100,100,100,3585,0.689423076923077,21
"666","666","3","CIP302499.30",10,5,70,100,100,100,100,100,100,4470,0.859615384615385,26.1
"667","667","3","CIP393349.68",10,0,0,5,5,40,80,90,100,1890,0.363461538461538,11.1
"668","668","3","CIP394579.36",10,5,90,100,100,100,100,100,100,4640,0.892307692307692,27.1
"669","669","3","CIP300054.29",10,5,60,95,97,100,100,100,100,4329,0.8325,25.3
"670","670","3","CIP395186.6",10,0,50,95,100,100,100,100,100,4240,0.815384615384615,24.8
